,inds,EAR_vals,sec
3408,3408,0.08069946120944647,68.57142857142857
3409,3409,0.07647085374760043,68.59154929577464
3410,3410,0.10366486120561656,68.61167002012073
3411,3411,0.1611661492891553,68.6317907444668
3666,3666,0.16300631170725266,73.76257545271629
3667,3667,0.11161334958430924,73.78269617706238
3677,3677,0.09203818089022668,73.98390342052313
3678,3678,0.07689466056274286,74.0040241448692
3679,3679,0.08143107526445975,74.02414486921529
3680,3680,0.07689466056274286,74.04426559356136
3681,3681,0.10991210545939684,74.06438631790743
3704,3704,0.12152559498280845,74.52716297786719
3705,3705,0.1046795212055004,74.54728370221328
3706,3706,0.07846153846153847,74.56740442655935
3707,3707,0.07686624420240877,74.58752515090544
3708,3708,0.09767043089523234,74.6076458752515
3709,3709,0.1100529874673056,74.62776659959758
3710,3710,0.14854585352476074,74.64788732394366
3807,3807,0.14,76.59959758551308
3808,3808,0.13361995677020938,76.61971830985915
3828,3828,0.09996803834887158,77.02213279678068
3829,3829,0.10426784936796107,77.04225352112675
3830,3830,0.1118688192592512,77.06237424547284
3831,3831,0.14968928939341525,77.08249496981891
3849,3849,0.15090253083390331,77.44466800804828
3850,3850,0.1316227766016838,77.46478873239437
3851,3851,0.14880413112243912,77.48490945674044
4032,4032,0.08992808628496105,81.12676056338027
4033,4033,0.07232683184328463,81.14688128772636
4034,4034,0.09422949903424913,81.16700201207243
4035,4035,0.08293827970728247,81.1871227364185
4036,4036,0.0961256352255128,81.20724346076459
4037,4037,0.12481779399737865,81.22736418511066
4038,4038,0.1740337500418096,81.24748490945673
4249,4249,0.17454376988514506,85.49295774647887
4536,4536,0.14409080636860405,91.26760563380282
4537,4537,0.15000000000000002,91.28772635814889
4538,4538,0.12769230769230772,91.30784708249496
4707,4707,0.14669649888473704,94.70824949698189
4782,4782,0.15617775609102935,96.21730382293762
4783,4783,0.13994406711052526,96.2374245472837
5208,5208,0.16908465597452388,104.78873239436619
5387,5387,0.1429166666666667,108.39034205231388
5388,5388,0.12245205752330734,108.41046277665995
5389,5389,0.1316227766016838,108.43058350100603
5508,5508,0.14,110.82494969818913
5509,5509,0.11208333333333334,110.8450704225352
5510,5510,0.1232455532033676,110.86519114688129
5511,5511,0.1453638739853618,110.88531187122736
5596,5596,0.1429166666666667,112.59557344064386
5597,5597,0.1276558364144604,112.61569416498993
5700,5700,0.17109423557411632,114.6881287726358
